"","grid_range","z"
"627","grid627",16.035
"628","grid628",16.601
"629","grid629",16.637
"630","grid630",16.701
"631","grid631",16.887
"632","grid632",16.409
"633","grid633",15.57
"634","grid634",16.691
"635","grid635",16.557
"636","grid636",16.449
"637","grid637",16.353
"638","grid638",16.379
"639","grid639",16.371
"640","grid640",16.962
"641","grid641",17.03
"642","grid642",17.05
"643","grid643",16.702
"644","grid644",16.961
"645","grid645",16.935
"646","grid646",16.91
"647","grid647",16.597
"648","grid648",16.864
"649","grid649",16.038
"650","grid650",16.061
"651","grid651",16.665
"652","grid652",16.844
"653","grid653",16.917
"654","grid654",16.515
"655","grid655",16.607
"656","grid656",17.235
"657","grid657",16.756
"658","grid658",16.1
"659","grid659",15.98
"660","grid660",16.751
"661","grid661",16.859
"662","grid662",17.059
"663","grid663",16.94
"664","grid664",16.791
"665","grid665",16.317
"666","grid666",16.529
"667","grid667",15.643
"668","grid668",16.284
"669","grid669",16.704
"670","grid670",16.748
"671","grid671",16.823
"672","grid672",16.877
"673","grid673",16.64
"674","grid674",16.763
"675","grid675",16.688
"676","grid676",16.366
"677","grid677",16.275
"678","grid678",16.645
"679","grid679",16.588
"680","grid680",16.272
"681","grid681",16.092
"682","grid682",16.363
"683","grid683",16.133
"684","grid684",16.548
"685","grid685",16.534
"686","grid686",16.912
"687","grid687",16.873
"688","grid688",16.87
"689","grid689",16.479
"690","grid690",14.325
"691","grid691",12.636
"692","grid692",15.905
"693","grid693",16.57
"694","grid694",16.817
"695","grid695",16.873
"696","grid696",16.444
"697","grid697",16.439
"698","grid698",17.122
"699","grid699",16.538
"700","grid700",16.751
"701","grid701",16.627
"702","grid702",16.437
"703","grid703",16.732
"704","grid704",16.456
"705","grid705",15.612
"706","grid706",15.527
"707","grid707",15.868
"708","grid708",16.213
"709","grid709",16.52
"710","grid710",16.445
"711","grid711",16.454
"712","grid712",16.415
"713","grid713",16.901
"714","grid714",16.967
"715","grid715",17.042
"716","grid716",16.703
"717","grid717",16.191
"718","grid718",16.11
"719","grid719",16.73
"720","grid720",17.197
"721","grid721",16.986
"722","grid722",16.373
"723","grid723",16.465
"724","grid724",16.449
"725","grid725",16.186
"726","grid726",16.527
"727","grid727",16.892
"728","grid728",16.811
"729","grid729",16.699
"730","grid730",16.465
"731","grid731",16.312
"732","grid732",14.272
"733","grid733",16.019
"734","grid734",16.155
"735","grid735",16.252
"736","grid736",16.675
"737","grid737",16.706
"738","grid738",16.551
"739","grid739",15.745
"740","grid740",16.948
"741","grid741",16.348
"742","grid742",16.111
"743","grid743",16.442
"744","grid744",16.148
"745","grid745",16.559
"746","grid746",16.515
